Size,Merge Sort Time,Insertion Sort Time,
1,821,1231,
2,3285,411,
3,2053,1232,
4,2874,821,
5,2873,821,
6,2874,821,
7,3284,1232,
8,3285,1231,
9,4106,1231,
10,4516,1231,
11,4516,1642,
12,7389,1642,
13,5337,1642,
14,6569,1642,
15,6158,2464,
16,12726,3695,
17,8622,2463,
18,7801,2053,
19,9443,2874,
20,8622,2874,
21,9031,3695,
22,19296,6158,
23,10674,3695,
24,12727,3694,
25,11906,4515,
26,14369,3695,
27,18063,5337,
28,16011,7390,
29,9032,5748,
30,2874,6568,
31,4926,6979,
32,4926,11085,
33,4927,8211,
34,3284,6979,
35,3284,7801,
36,3284,9032,
37,4926,9443,
38,4105,10674,
39,4516,9443,
40,3695,10674,
41,4516,10674,
42,4516,11496,
43,6569,13137,
44,4516,12316,
45,4516,13548,
46,5337,13137,
47,4516,15601,
48,9032,18064,
49,9443,23811,
50,7389,26275,
51,11085,26274,
52,7390,28738,
53,7390,28328,
54,9032,22169,
55,20117,26685,
56,10263,34485,
57,8621,28327,
58,10264,32022,
59,9853,46391,
60,11495,40644,
61,10674,32843,
62,10674,36127,
63,9443,31201,
64,10264,39822,
65,14779,45569,
66,12726,48033,
67,22169,51318,
68,14369,43107,
69,13137,49676,
70,14780,48854,
71,12726,50086,
72,12727,52549,
73,16012,58297,
74,14369,52960,
75,10264,36538,
76,9032,33253,
77,10674,38590,
78,10674,37770,
79,9032,37770,
80,11906,41465,
81,11084,47212,
82,11085,42285,
83,9442,37770,
84,10674,44749,
85,9442,49675,
86,9443,49676,
87,11085,46391,
88,9853,41875,
89,9442,875680,
90,9853,34896,
91,10674,26275,
92,10674,12726,
93,21348,43107,
94,18064,12727,
95,10263,23401,
96,10263,9032,
97,10674,9853,
98,12316,8622,
99,11495,9032,
100,11085,9853,
101,11085,9442,
102,11496,11084,
103,11906,10674,
104,12727,11495,
105,11495,9853,
106,11905,18064,
107,11906,11905,
108,12316,11084,
109,12727,12727,
110,11906,11085,
111,11906,11495,
112,12316,10674,
113,13958,13958,
114,12726,14369,
115,12726,12317,
116,13548,13958,
117,14369,13137,
118,15600,13959,
119,13958,14369,
120,17653,16832,
121,15190,13548,
122,16422,14780,
123,16422,15600,
124,15190,14369,
125,14779,17243,
126,16011,15601,
127,14779,15600,
128,16011,16011,
129,16422,29969,
130,33254,31612,
131,30379,31612,
132,27917,34075,
133,29148,29969,
134,36127,34485,
135,29559,33253,
136,29559,36128,
137,29559,33253,
138,30790,32433,
139,30380,33253,
140,29559,34075,
141,30380,36949,
142,32022,35717,
143,31612,38590,
144,31201,36948,
145,32022,42286,
146,36948,41875,
147,34485,37359,
148,34074,43517,
149,32843,41465,
150,32022,40233,
151,32433,36538,
152,34075,42286,
153,33664,40233,
154,34075,42286,
155,29558,24222,
156,20527,22990,
157,19706,20527,
158,20527,24222,
159,20116,23401,
160,19706,22990,
161,20527,23811,
162,20117,25454,
163,20937,25453,
164,21759,23812,
165,21348,25864,
166,21348,27096,
167,22169,28738,
168,21758,78002,
169,26274,52960,
170,24222,24222,
171,22169,52138,
172,21759,50496,
173,23401,25864,
174,22169,48033,
175,27507,49265,
176,25453,49676,
177,23401,46391,
178,23811,63223,
179,22990,72666,
180,24633,70202,
181,25454,69792,
182,25454,55012,
183,25043,57476,
184,23811,75540,
185,26275,68971,
186,32432,65276,
187,24632,74307,
188,28737,61991,
189,26685,61581,
190,25454,61581,
191,28327,70612,
192,25043,66097,
193,27506,71434,
194,26274,63223,
195,25864,71844,
196,26274,7801,
197,25864,6979,
198,27507,7389,
199,27095,7389,
200,26274,7800,
